date,region,flat_price
2007-07-01,South East,158914.0
2007-07-01,London,276754.0
2007-08-01,Inner London,339616.0
2007-08-01,Outer London,215272.0
2007-08-01,South East,158400.0
2007-08-01,London,278979.0
2007-09-01,Inner London,345608.0
2007-09-01,Outer London,217705.0
2007-09-01,South East,161141.0
2007-09-01,London,280503.0
2007-10-01,Inner London,347192.0
2007-10-01,Outer London,218743.0
2007-10-01,London,280661.0
2007-10-01,South East,161929.0
2007-11-01,Outer London,219947.0
2007-11-01,Inner London,344975.0
2007-11-01,South East,161678.0
2007-11-01,London,278401.0
2007-12-01,Inner London,343205.0
2007-12-01,Outer London,221054.0
2007-12-01,South East,161308.0
2007-12-01,London,280320.0
2008-01-01,Inner London,341634.0
2008-01-01,Outer London,221527.0
2008-01-01,London,279541.0
2008-01-01,South East,159366.0
2008-02-01,Inner London,342014.0
2008-02-01,Outer London,220587.0
2008-02-01,London,277202.0
2008-02-01,South East,157200.0
2008-03-01,Outer London,218461.0
2008-03-01,Inner London,340059.0
2008-03-01,London,273991.0
2008-03-01,South East,156306.0
2008-04-01,Outer London,216570.0
2008-04-01,Inner London,339167.0
2008-04-01,South East,154330.0
2008-04-01,London,274992.0
2008-05-01,Outer London,216155.0
2008-05-01,Inner London,338932.0
2008-05-01,South East,156106.0
2008-05-01,London,276149.0
2008-06-01,Outer London,215470.0
2008-06-01,Inner London,337166.0
2008-06-01,London,270489.0
2008-06-01,South East,153529.0
2008-07-01,Inner London,338189.0
2008-07-01,Outer London,213363.0
2008-07-01,South East,151871.0
2008-07-01,London,272444.0
2008-08-01,Inner London,332892.0
2008-08-01,Outer London,210041.0
2008-08-01,London,263355.0
2008-08-01,South East,147685.0
2008-09-01,Inner London,330103.0
2008-09-01,Outer London,206072.0
2008-09-01,London,259717.0
2008-09-01,South East,143650.0
2008-10-01,Outer London,201643.0
2008-10-01,Inner London,320190.0
2008-10-01,South East,140526.0
2008-10-01,London,251779.0
2008-11-01,Outer London,195676.0
2008-11-01,Inner London,311752.0
2008-11-01,London,241752.0
2008-11-01,South East,135692.0
2008-12-01,Outer London,190787.0
2008-12-01,Inner London,300801.0
2008-12-01,London,236865.0
2008-12-01,South East,133379.0
2009-01-01,Inner London,294712.0
2009-01-01,Outer London,187385.0
2009-01-01,South East,130874.0
2009-01-01,London,237830.0
2009-02-01,Outer London,185957.0
2009-02-01,Inner London,291737.0
2009-02-01,London,235337.0
2009-02-01,South East,129722.0
2009-03-01,Outer London,184153.0
2009-03-01,Inner London,291765.0
2009-03-01,South East,129266.0
2009-03-01,London,233799.0
2009-04-01,Inner London,288678.0
2009-04-01,Outer London,182175.0
2009-04-01,London,230300.0
2009-04-01,South East,129708.0
2009-05-01,Outer London,181327.0
2009-05-01,Inner London,289787.0
2009-05-01,South East,131505.0
2009-05-01,London,235443.0
2009-06-01,Inner London,291896.0
2009-06-01,Outer London,181837.0
2009-06-01,London,237527.0
2009-06-01,South East,132178.0
2009-07-01,Inner London,298194.0
2009-07-01,Outer London,183501.0
2009-07-01,South East,133318.0
2009-07-01,London,241685.0
2009-08-01,Outer London,185771.0
2009-08-01,Inner London,300987.0
2009-08-01,South East,135572.0
2009-08-01,London,243063.0
2009-09-01,Outer London,188016.0
2009-09-01,Inner London,307729.0
2009-09-01,South East,137617.0
